major,minor,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
s6,n6,0.2521,0.2405,0.2478,0.2315,0.2030,0.1476,0.1248,0.0959,0.0791,0.1600,0.3002,0.4071,0.4292,0.5251,0.4620,0.4965,0.4565,0.4732,0.4915,0.4569,0.4336,0.4108,0.3465,0.1970,0.1270,0.1567,0.1522,0.0662,0.0674,0.0454,0.0237,0.0513,0.1095,0.1914,0.3403,0.4249,0.3947,0.3894,0.3053,0.3383,0.5482,0.4537,0.4417,0.4562,0.4002,0.2205,0.2665,0.2782
s6,n7,0.2569,0.2576,0.2638,0.2573,0.1959,0.1362,0.1019,0.0800,0.0921,0.1578,0.2747,0.4429,0.4805,0.4448,0.3687,0.3762,0.4400,0.4859,0.5448,0.4903,0.5068,0.4089,0.3241,0.2827,0.2526,0.2401,0.1188,0.1422,0.0977,0.0952,0.0281,0.0902,0.0804,0.1765,0.1847,0.2693,0.3829,0.4351,0.4097,0.4533,0.5143,0.3885,0.3161,0.3245,0.5222,0.3066,0.1711,0.0510
s6,n8,0.2599,0.2648,0.2803,0.2554,0.2229,0.1675,0.1347,0.0772,0.0755,0.1265,0.1966,0.4216,0.4389,0.4052,0.3789,0.3614,0.4875,0.5686,0.6539,0.6449,0.5616,0.4602,0.4008,0.3374,0.3559,0.3343,0.1959,0.2575,0.2061,0.2736,0.1272,0.1926,0.1981,0.3500,0.3763,0.4069,0.4967,0.4818,0.5772,0.6314,0.6362,0.5300,0.5016,0.5090,0.6015,0.3978,0.2974,0.0624
s6,n9,0.2524,0.2378,0.2205,0.1991,0.1762,0.1204,0.0925,0.0522,0.0637,0.1221,0.1564,0.3080,0.3053,0.3289,0.3268,0.3317,0.3903,0.4501,0.5352,0.4734,0.3772,0.3755,0.2640,0.1627,0.1268,0.1708,0.1148,0.1599,0.1166,0.0909,0.0259,0.0312,0.0356,0.0454,0.0833,0.1147,0.1738,0.2739,0.3075,0.4171,0.4881,0.3730,0.4455,0.4091,0.4481,0.3920,0.4765,0.3711
s6,n10,0.2605,0.2580,0.2550,0.2186,0.2074,0.1581,0.1356,0.1055,0.1382,0.2203,0.3144,0.4145,0.3750,0.4393,0.4128,0.4813,0.4171,0.5875,0.6358,0.6085,0.6021,0.6020,0.5088,0.3226,0.2743,0.3048,0.1955,0.1598,0.1215,0.0849,0.0143,0.0166,0.0557,0.0608,0.0778,0.2189,0.1805,0.2556,0.2716,0.4515,0.4982,0.3376,0.3824,0.4061,0.4628,0.3593,0.3229,0.1814
s6,n11,0.2560,0.2426,0.2451,0.2222,0.2082,0.1679,0.1586,0.1272,0.1699,0.2397,0.3613,0.4413,0.3765,0.4253,0.3916,0.4408,0.4772,0.6049,0.7098,0.6735,0.7500,0.7177,0.6833,0.5310,0.4571,0.4447,0.3639,0.3854,0.2416,0.1512,0.0949,0.1258,0.1486,0.1426,0.1966,0.2460,0.1616,0.2833,0.2346,0.2702,0.3627,0.3397,0.3366,0.4747,0.4237,0.3227,0.2731,0.1014
s6,n12,0.2507,0.2428,0.2580,0.2463,0.2151,0.2012,0.1411,0.1345,0.1621,0.3114,0.4457,0.4955,0.4943,0.4755,0.4227,0.4723,0.4807,0.4610,0.5350,0.3181,0.3378,0.3020,0.2102,0.1084,0.0789,0.0861,0.0968,0.0966,0.0681,0.0363,0.0182,0.0633,0.0802,0.1735,0.1916,0.2525,0.1915,0.2058,0.1740,0.2082,0.2713,0.3328,0.3526,0.3478,0.3304,0.2274,0.1745,0.1067
s6,n13,0.2544,0.2598,0.2657,0.2444,0.2204,0.1803,0.1346,0.1075,0.1752,0.2543,0.3380,0.4012,0.3924,0.3759,0.3908,0.3764,0.3805,0.3881,0.5111,0.3325,0.3128,0.2590,0.1712,0.0426,0.0351,0.0592,0.1158,0.2029,0.2520,0.1586,0.1256,0.1538,0.1927,0.3101,0.2726,0.4348,0.4064,0.3518,0.3389,0.3793,0.3615,0.5232,0.6176,0.6231,0.5050,0.5313,0.4070,0.3413
s6,n14,0.2664,0.2780,0.2748,0.2322,0.2282,0.1708,0.1308,0.0974,0.1373,0.2247,0.3206,0.4057,0.3367,0.3201,0.3173,0.3064,0.3041,0.4185,0.4956,0.4615,0.4850,0.4815,0.4692,0.2577,0.2814,0.3026,0.2842,0.2915,0.2029,0.1254,0.0642,0.0835,0.1648,0.1346,0.1865,0.4132,0.4190,0.4591,0.4068,0.5368,0.6613,0.6524,0.7086,0.6336,0.6867,0.5700,0.4519,0.2455
s7,n1,0.2692,0.2965,0.3124,0.2993,0.2475,0.1724,0.0737,0.0531,0.0905,0.1355,0.1892,0.1957,0.2369,0.2265,0.1323,0.1378,0.1666,0.2682,0.3814,0.3630,0.2417,0.2017,0.1381,0.0594,0.0228,0.0206,0.0327,0.0403,0.0725,0.0533,0.0111,0.0065,0.0121,0.0391,0.0803,0.0724,0.1657,0.1512,0.2284,0.1389,0.2189,0.2735,0.2675,0.1342,0.1070,0.0328,0.0119,0.0085
s7,n2,0.2721,0.2982,0.3200,0.3329,0.2811,0.2134,0.1623,0.1223,0.1884,0.2828,0.3159,0.3275,0.3808,0.3819,0.2979,0.2976,0.4046,0.4726,0.4861,0.4620,0.3497,0.3007,0.1897,0.0900,0.0371,0.0289,0.0341,0.0132,0.0122,0.0039,0.0028,0.0002,0.0025,0.0174,0.0227,0.0280,0.0408,0.0369,0.0486,0.0265,0.0449,0.0799,0.0932,0.1309,0.0393,0.0173,0.0044,0.0011
s7,n3,0.2496,0.2220,0.2465,0.2626,0.2660,0.2525,0.1911,0.2129,0.2222,0.2299,0.2642,0.3697,0.3878,0.3664,0.3309,0.3465,0.3471,0.2622,0.3954,0.4014,0.2808,0.2143,0.0950,0.1208,0.0942,0.0963,0.0949,0.1046,0.0487,0.0373,0.0505,0.0198,0.0553,0.0839,0.1276,0.1668,0.0927,0.0361,0.0135,0.0031,0.0028,0.0126,0.0372,0.0532,0.0272,0.0148,0.0148,0.0074
s7,n4,0.2509,0.2279,0.2586,0.2471,0.2531,0.2281,0.1616,0.1299,0.1492,0.1641,0.2019,0.2643,0.2711,0.2584,0.2967,0.3902,0.3963,0.3399,0.3787,0.3346,0.2262,0.1689,0.0654,0.0434,0.0384,0.0426,0.0462,0.0653,0.0374,0.0280,0.0264,0.0033,0.0120,0.0169,0.0450,0.0730,0.0626,0.0392,0.0300,0.0202,0.0382,0.0381,0.0771,0.0794,0.0378,0.0308,0.0109,0.0055
